,return,trgt,trade,side,first_touch
2011-08-02 15:02:12.277,0.009338366779256813,0.008616265534189994,1,-1.0,2011-08-02 17:57:51.964
2011-08-02 16:48:53.474,0.008582834331337441,0.007735588352929544,1,-1.0,2011-08-02 19:52:57.011
2011-08-03 01:53:52.265,0.01074614760746151,0.008415483293550302,1,-1.0,2011-08-03 14:37:04.871
2011-08-03 08:02:36.120,0.010473313192346012,0.008016336381933092,1,-1.0,2011-08-03 14:23:36.205
2011-08-03 14:56:24.514,-0.01744301288404404,0.007678001857604557,0,-1.0,2011-08-04 01:57:00.466
2011-08-03 15:17:23.195,0.00829120323559085,0.007031877789595105,1,-1.0,2011-08-04 13:48:11.410
2011-08-03 19:23:40.231,-0.01771849492335298,0.008057790213224721,0,1.0,2011-08-04 13:50:40.606
2011-08-04 01:57:00.466,-0.026957383548067537,0.011841319838299969,0,1.0,2011-08-04 14:45:47.218
2011-08-04 09:08:28.542,-0.02512462612163513,0.012108225175021827,0,1.0,2011-08-04 15:27:00.898
2011-08-04 10:27:24.326,-0.023977433004231608,0.011681979141787905,0,1.0,2011-08-04 18:19:18.324
2011-08-04 12:29:39.619,-0.022401614530777603,0.011022169804350558,0,1.0,2011-08-04 18:19:18.324
2011-08-04 13:48:11.410,0.01000816993464082,0.009074773400328529,1,-1.0,2011-08-04 15:01:19.020
2011-08-04 14:45:47.218,0.008629545921512216,0.007751283590757974,1,-1.0,2011-08-04 15:46:46.223
2011-08-04 15:27:00.898,0.007418091901916668,0.007145662650504365,1,-1.0,2011-08-04 15:48:15.860
2011-08-04 15:48:15.860,0.008729993764290178,0.007879752564721697,1,-1.0,2011-08-04 19:44:06.743
2011-08-04 16:14:47.164,0.00949628406275882,0.00758000937269779,1,-1.0,2011-08-04 18:19:18.324
2011-08-04 17:45:15.404,0.007647788342290074,0.007095273121446123,1,-1.0,2011-08-04 18:27:50.147
2011-08-04 18:19:18.324,0.011695906432748426,0.008911760029944146,1,-1.0,2011-08-04 19:53:02.682
2011-08-04 18:36:49.552,0.011639991685720608,0.009686945721987849,1,-1.0,2011-08-04 19:44:06.743
2011-08-04 19:26:07.993,0.010860484544694904,0.009956584798399355,1,-1.0,2011-08-04 19:53:02.682
2011-08-04 19:44:06.743,0.01305538008001661,0.011423363134829589,1,-1.0,2011-08-05 13:54:12.782
2011-08-04 20:01:48.966,0.015960842732496427,0.014155298337544742,1,-1.0,2011-08-05 15:51:03.471
2011-08-04 22:01:00.701,0.014578491443059338,0.014129722949719205,1,-1.0,2011-08-05 14:00:27.577
2011-08-05 06:36:24.009,0.015774888083564198,0.014675751522323368,1,-1.0,2011-08-05 15:55:45.798
2011-08-05 07:37:13.880,0.016744383213226133,0.014885203602445364,1,-1.0,2011-08-05 15:16:11.831
2011-08-05 08:31:30.648,0.015135365593689887,0.014849078471834573,1,-1.0,2011-08-05 15:55:45.798
2011-08-05 11:59:45.661,0.014367208958377287,0.013819374066288874,1,-1.0,2011-08-05 14:00:27.577
2011-08-05 12:30:19.803,0.015252820727120753,0.013697468255867666,1,-1.0,2011-08-05 13:51:55.449
2011-08-05 12:34:46.722,0.01705622236260207,0.01371963024011023,1,-1.0,2011-08-05 13:54:12.782
2011-08-05 13:24:18.074,0.016506477225240568,0.01293387150682524,1,-1.0,2011-08-05 13:51:55.449
2011-08-05 13:43:35.973,-0.02651750569711986,0.012643648648110808,0,1.0,2011-08-05 15:51:03.471
2011-08-05 13:51:55.449,-0.02695361470956914,0.011967549048990772,0,1.0,2011-08-05 15:57:57.407
2011-08-05 13:54:12.782,0.012213097494208736,0.011568462249587212,1,1.0,2011-08-05 14:26:25.267
2011-08-05 14:09:15.969,0.012081390419669491,0.010509576532794508,1,-1.0,2011-08-05 15:16:11.831
2011-08-05 14:18:27.798,0.010539629005058782,0.009993712092822727,1,-1.0,2011-08-05 15:05:51.370
2011-08-05 14:41:48.634,0.012717253073336598,0.00924673625609384,1,-1.0,2011-08-05 15:16:11.831
2011-08-05 15:05:51.370,0.009576505639498079,0.008604937536717597,1,-1.0,2011-08-05 15:51:03.471
2011-08-05 15:27:22.850,0.008481764206954567,0.008042442681445595,1,-1.0,2011-08-05 15:42:17.492
2011-08-05 15:42:17.492,0.012669100279149914,0.007619674971159804,1,-1.0,2011-08-05 15:57:57.407
2011-08-05 15:57:57.407,-0.020815811606391676,0.0074061315868945155,0,-1.0,2011-08-05 16:16:23.584
2011-08-05 16:10:17.832,-0.016118903077245506,0.0073417449748257885,0,-1.0,2011-08-05 16:40:06.744
2011-08-05 16:16:23.584,-0.01409618573797733,0.007066192324866831,0,-1.0,2011-08-05 16:57:00.279
2011-08-05 16:49:26.004,0.010687342833193947,0.007669909736930885,1,-1.0,2011-08-05 19:05:26.371
2011-08-05 17:05:52.472,0.009398496240601517,0.008626592501921233,1,1.0,2011-08-05 17:23:37.140
2011-08-05 17:23:37.140,-0.03538175046554903,0.009421128643627841,0,1.0,2011-08-07 22:01:50.370
2011-08-05 17:41:40.599,-0.02935665209244198,0.009502577585464163,0,1.0,2011-08-07 22:01:50.370
2011-08-05 17:54:20.090,-0.03757225433525957,0.010397083895702796,0,1.0,2011-08-07 22:01:50.370
2011-08-05 18:11:13.406,-0.028952301603831998,0.010690674293864697,0,1.0,2011-08-07 22:01:50.370
2011-08-05 18:56:50.982,-0.026925485284909345,0.011122065576493095,0,1.0,2011-08-07 22:01:50.370
2011-08-05 19:08:46.140,-0.018526315789473613,0.01070678568529692,0,1.0,2011-08-07 22:01:50.370
2011-08-05 19:39:28.296,-0.026315789473683737,0.010448732164329321,0,1.0,2011-08-07 22:01:50.370
2011-08-07 22:01:50.370,0.01480051480051503,0.011878783292863742,1,1.0,2011-08-08 07:17:22.466
2011-08-08 00:24:32.348,0.012894906511927484,0.011264008371082553,1,-1.0,2011-08-08 06:02:07.760
2011-08-08 06:02:07.760,0.011301890893284705,0.01094884570386866,1,-1.0,2011-08-08 14:33:21.411
2011-08-08 06:57:27.756,0.011607910576096003,0.01074870964618235,1,-1.0,2011-08-08 13:30:24.458
2011-08-08 07:44:09.340,0.011947941113718441,0.010641485687353708,1,-1.0,2011-08-08 09:38:24.353
2011-08-08 08:20:54.482,0.01115879828326194,0.010452830084348866,1,-1.0,2011-08-08 10:25:31.338
2011-08-08 10:25:31.338,0.0128232992827646,0.00996098746104781,1,-1.0,2011-08-08 14:33:21.411
2011-08-08 11:19:41.703,0.011863675582398425,0.009764746314369079,1,-1.0,2011-08-08 14:19:17.580
2011-08-08 13:30:24.458,0.01108454683764415,0.009251237325302926,1,-1.0,2011-08-08 14:33:21.411
2011-08-08 13:35:46.488,0.009470512268617837,0.008909095790701553,1,-1.0,2011-08-08 14:17:06.533
2011-08-08 13:47:01.597,0.008628127696289623,0.008316437465525977,1,-1.0,2011-08-08 14:19:17.580
2011-08-08 14:17:06.533,0.009780482503803922,0.007550636317106079,1,-1.0,2011-08-08 14:33:21.411
2011-08-08 14:26:40.640,0.009407131918617084,0.008172919837033082,1,-1.0,2011-08-08 17:39:49.121
2011-08-08 14:49:40.844,0.013126230584116882,0.009540497750814737,1,-1.0,2011-08-08 17:39:49.121
2011-08-08 15:08:41.548,0.009786863853849193,0.009309888400738087,1,-1.0,2011-08-08 16:21:01.283
2011-08-08 15:33:55.106,0.010719754977029039,0.008478449216902493,1,-1.0,2011-08-08 17:39:49.121
2011-08-08 16:21:01.283,0.008554507567449354,0.008151321943254559,1,-1.0,2011-08-08 17:45:57.577
2011-08-08 17:39:49.121,0.010835913312693402,0.008555519498836884,1,-1.0,2011-08-08 18:16:37.224
2011-08-08 18:00:32.662,0.010463045414069727,0.009850428444988442,1,-1.0,2011-08-08 18:24:17.766
2011-08-08 18:05:46.450,0.016473731077470966,0.009919657423817245,1,-1.0,2011-08-08 18:24:17.766
